model,learning type,meta-estimator,strategy,output type,framework
LogisticRegression,supervised,,,classification,scikit-learn
LogisticRegressionCV,supervised,,,classification,scikit-learn
PassiveAggressiveClassifier,supervised,,,classification,scikit-learn
Perceptron,supervised,,,classification,scikit-learn
RidgeClassifier,supervised,,,classification,scikit-learn
RidgeClassifierCV,supervised,,,classification,scikit-learn
SGDClassifier,supervised,,,classification,scikit-learn
OneVsRestClassifier,,TRUE,,classification,scikit-learn
OneVsOneClassifier,,TRUE,,classification,scikit-learn
OutputCodeClassifier,,TRUE,,classification,scikit-learn
AdaBoostClassifier,,TRUE,,classification,scikit-learn
BaggingClassifier,,TRUE,,classification,scikit-learn
ExtraTreesClassifier (meta estimator),,TRUE,,classification,scikit-learn
GradientBoostingClassifier,,TRUE,,classification,scikit-learn
RandomForestClassifier,,TRUE,,classification,scikit-learn
StackingClassifier,,TRUE,,classification,scikit-learn
VotingClassifier,,TRUE,,classification,scikit-learn
HistGradientBoostingClassifier,,TRUE,,classification,scikit-learn
GaussianProcessClassifier,supervised,,,classification,scikit-learn
ClassifierChain,,TRUE,,classification,scikit-learn
MultiOutputClassifier,,TRUE,,classification,scikit-learn
BernoulliNB,supervised,,,classification,scikit-learn
CategoricalNB,supervised,,,classification,scikit-learn
ComplementNB,supervised,,,classification,scikit-learn
GaussianNB,supervised,,,classification,scikit-learn
MultinomialNB,supervised,,,classification,scikit-learn
KNeighborsClassifier,supervised,,,classification,scikit-learn
RadiusNeighborsClassifier,supervised,,,classification,scikit-learn
NearestCentroid,supervised,,,classification,scikit-learn
MLPClassifier,supervised,,,classification,scikit-learn
LabelPropagation,semi-supervised,,,classification,scikit-learn
LabelSpreading,semi-supervised,,,classification,scikit-learn
LinearSVC,supervised,,,classification,scikit-learn
NuSVC,supervised,,,classification,scikit-learn
SVC,supervised,,,classification,scikit-learn
DecisionTreeClassifier,supervised,,,classification,scikit-learn
ExtraTreeClassifier,supervised,,,classification,scikit-learn
